BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,PRICE,QUALIFIED,SALE_NUM,GBA,STYLE_D,STRUCT_D,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,ZIPCODE,LATITUDE,LONGITUDE,CENSUS_TRACT,WARD
2,1,Elec Base Brd,Y,1,6,3,1905,2011,3,1057500,Q,3,1920,3 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1054,20003,38.8830101,-76.98496102,6900,Ward 6
1,1,Hot Water Rad,Y,1,6,3,1910,2017,2,481000,Q,1,1304,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,935,20003,38.88300904,-76.98507259,6900,Ward 6
2,1,Warm Cool,Y,1,7,3,1915,2015,2,1250000,Q,3,1795,3 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood,1,1,11,998,20003,38.88301149,-76.98524097,6900,Ward 6
2,1,Warm Cool,Y,1,6,3,1920,2009,2,850000,Q,4,1732,2 Story,Row End,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1058,20003,38.8830251,-76.98530908,6900,Ward 6
2,1,Forced Air,Y,1,10,2,1905,2014,2,824000,Q,4,1688,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,2,11,882,20003,38.88337065,-76.98522534,6900,Ward 6
1,1,Hot Water Rad,Y,1,6,3,1905,2015,2,750000,Q,3,1274,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1047,20003,38.88333371,-76.98519423,6900,Ward 6
2,1,Forced Air,Y,1,6,3,1905,2015,2,905000,Q,5,1274,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,870,20003,38.88322101,-76.9851032,6900,Ward 6
1,1,Warm Cool,Y,1,7,3,1898,2016,2,710000,Q,2,1326,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,859,20003,38.88318092,-76.98507751,6900,Ward 6
1,1,Warm Cool,Y,1,5,2,1890,2014,2,710000,Q,3,1296,2 Story,Row End,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1193,20003,38.88254735,-76.98575441,6900,Ward 6
1,1,Hot Water Rad,Y,1,6,2,1907,2010,2,595000,Q,1,1454,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,2,11,1127,20003,38.88266816,-76.98578539,6900,Ward 6
3,1,Forced Air,Y,1,7,3,1919,2015,2,1470000,Q,6,1836,2 Story,Row End,Above Average,Very Good,Common Brick,Neopren,Hardwood,1,1,11,1191,20002,38.89046371,-76.98787511,8002,Ward 6
2,1,Forced Air,Y,2,7,3,1918,1978,2,197750,Q,1,1770,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,2,1,24,2937,20002,38.89076043,-76.98697448,8002,Ward 6
1,1,Ht Pump,Y,1,4,2,1900,2008,2,490000,Q,3,900,2 Story,Semi-Detached,Above Average,Average,Common Brick,Metal- Sms,Carpet,1,2,13,520,20002,38.89023789,-76.98572798,8002,Ward 6
1,1,Forced Air,Y,1,6,2,1914,2008,2,318375,Q,1,1254,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,919,20002,38.89114896,-76.98618172,8002,Ward 6
2,1,Forced Air,Y,1,7,4,1914,2007,2,733700,Q,2,1280,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,1,11,1028,20002,38.89116824,-76.98613123,8002,Ward 6
1,1,Forced Air,Y,1,5,3,1914,1986,2,685000,Q,2,1266,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Wood Floor,1,1,11,1133,20002,38.89118985,-76.9860812,8002,Ward 6
2,1,Hot Water Rad,Y,1,6,3,1914,1995,2,1098500,Q,3,1266,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,928,20002,38.89127216,-76.98587162,8002,Ward 6
3,1,Hot Water Rad,Y,1,8,4,1907,2008,2,265000,U,1,2486,2 Story,Row End,Good Quality,Good,Common Brick,Neopren,Hardwood,1,1,11,2723,20003,38.88950241,-76.98696699,6700,Ward 6
3,1,Hot Water Rad,Y,2,9,4,1909,2014,2,1550000,Q,4,1688,2 Story,Row End,Above Average,Very Good,Common Brick,Neopren,Hardwood,2,1,24,2430,20003,38.88887479,-76.98612026,6700,Ward 6
3,1,Forced Air,Y,2,9,4,1909,2005,2,1100000,Q,1,1688,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,2430,20003,38.88888536,-76.98637557,6700,Ward 6
3,1,Forced Air,Y,2,8,4,1909,2013,2,1270500,Q,5,1688,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,2430,20003,38.88884971,-76.98656346,6700,Ward 6
2,1,Forced Air,Y,2,10,4,1909,1994,2,164000,Q,1,1688,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,2,2,24,2430,20003,38.88887891,-76.98669185,6700,Ward 6
2,1,Forced Air,Y,1,8,3,1925,2014,2,1567000,Q,7,2384,2 Story,Row Inside,Above Average,Very Good,Common Brick,Neopren,Hardwood,1,1,11,1947,20003,38.88904818,-76.98750605,6700,Ward 6
3,1,Forced Air,Y,1,6,4,1907,2018,2,1450000,Q,4,1704,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1200,20003,38.88886667,-76.98599347,6700,Ward 6
2,1,Forced Air,Y,2,6,3,1907,2011,2,680000,Q,1,1830,2 Story,Row Inside,Good Quality,Good,Common Brick,Neopren,Hardwood,2,1,11,2213,20003,38.88950243,-76.98708998,6700,Ward 6
3,1,Forced Air,Y,2,8,4,1910,2003,2,1030000,Q,2,1734,2 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1330,20003,38.8895244,-76.98787078,6700,Ward 6
2,1,Forced Air,Y,3,9,4,1908,2019,2,1299000,Q,3,1888,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,3,2,24,2363,20003,38.88887021,-76.98696399,6700,Ward 6
3,1,Forced Air,Y,1,8,4,1906,2001,2,950000,Q,1,1598,2 Story,Row Inside,Good Quality,Good,Common Brick,Neopren,Carpet,2,1,11,1747,20003,38.88916253,-76.98785113,6700,Ward 6
3,1,Hot Water Rad,Y,2,9,5,1912,2000,2,1350000,Q,4,1550,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,2,2,24,1630,20003,38.88918353,-76.987903,6700,Ward 6
3,1,Hot Water Rad,Y,1,11,4,1908,2008,2,1550000,Q,6,2654,2 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Wood Floor,1,2,11,3306,20003,38.88891753,-76.98719624,6700,Ward 6
2,1,Forced Air,Y,2,6,3,1909,2008,2,799000,Q,1,1320,2 Story,Row Inside,Good Quality,Good,Stone,Built Up,Hardwood,2,1,11,852,20003,38.88776691,-76.98656896,6700,Ward 6
3,1,Hot Water Rad,Y,1,8,4,1900,2005,2,1175000,Q,3,2184,2 Story,Row Inside,Good Quality,Good,Common Brick,Neopren,Hardwood,1,1,11,1620,20003,38.88843513,-76.98805665,6700,Ward 6
3,1,Hot Water Rad,Y,2,8,4,1908,2006,2,1450000,Q,4,2310,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1620,20003,38.8884844,-76.98804051,6700,Ward 6
3,1,Hot Water Rad,Y,1,6,4,1908,2008,2,1167500,Q,1,2236,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,1,2,11,1620,20003,38.88853287,-76.98803497,6700,Ward 6
3,1,Forced Air,Y,2,8,5,1923,2001,2,1128000,Q,3,2248,2 Story,Row Inside,Good Quality,Average,Common Brick,Built Up,Hardwood/Carp,2,2,24,1244,20003,38.8878008,-76.98680271,6700,Ward 6
2,1,Forced Air,Y,1,6,4,1905,2020,2.25,1445000,Q,3,2354,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,1,1,11,1627,20003,38.88780057,-76.98711933,6700,Ward 6
3,1,Forced Air,Y,2,8,4,1910,2011,2,1175000,Q,4,1406,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Neopren,Hardwood/Carp,2,1,24,1656,20003,38.88778491,-76.98729845,6700,Ward 6
3,1,Hot Water Rad,Y,2,8,4,1908,2009,2,1000000,Q,1,2020,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,2,2,24,1871,20003,38.88822289,-76.98722703,6700,Ward 6
3,1,Forced Air,Y,2,8,4,1909,2002,2,825000,Q,1,1652,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,2,1,24,2036,20003,38.88775377,-76.98754892,6700,Ward 6
2,1,Forced Air,Y,2,9,4,1909,2014,2,1399000,Q,6,1858,2 Story,Row Inside,Good Quality,Very Good,Common Brick,Built Up,Hardwood,2,2,24,2165,20003,38.88779837,-76.98764527,6700,Ward 6
3,1,Forced Air,Y,2,10,4,1903,2009,2,1340000,Q,5,1918,2 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,3,24,1260,20003,38.88741602,-76.9857169,6700,Ward 6
1,1,Hot Water Rad,Y,1,6,3,1915,2012,2,945021,Q,5,1280,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1150,20003,38.88732681,-76.98785755,6700,Ward 6
2,1,Forced Air,Y,1,6,3,1905,2005,2,681000,Q,1,1342,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,1,1,11,1206,20003,38.88736519,-76.98788429,6700,Ward 6
2,1,Hot Water Rad,Y,1,7,4,1905,1974,2,1000000,Q,3,1564,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1367,20003,38.88740352,-76.98752501,6700,Ward 6
3,1,Hot Water Rad,Y,1,6,3,1914,2008,2,1002000,Q,5,1440,2 Story,Row Inside,Above Average,Good,Common Brick,Neopren,Hardwood,1,1,11,1259,20003,38.88658019,-76.98700844,6700,Ward 6
2,1,Hot Water Rad,Y,1,7,3,1915,1990,2,1100000,Q,3,1368,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Wood Floor,1,1,11,2202,20003,38.8868213,-76.98741723,6700,Ward 6
3,1,Forced Air,Y,1,7,3,2004,2007,2,930000,U,5,2280,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,2437,20003,38.87970655,-76.98623326,7100,Ward 6
5,1,Forced Air,Y,2,12,6,1923,2013,2,1350000,Q,5,2445,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1800,20003,38.87881314,-76.98579088,7100,Ward 6
1,1,Forced Air,Y,1,6,2,1905,2004,2,734000,Q,5,1230,2 Story,Row End,Above Average,Average,Common Brick,Built Up,Hardwood,1,1,11,1480,20003,38.87858732,-76.98696622,7100,Ward 6
2,1,Forced Air,Y,1,10,3,1905,2014,2,905000,Q,6,1230,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2,1,11,1350,20003,38.8785758,-76.98707225,7100,Ward 6
3,1,Forced Air,Y,1,10,3,1905,2012,2,659000,Q,1,1200,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1247,20003,38.87954233,-76.98575547,7100,Ward 6
3,1,Forced Air,Y,1,6,3,1916,2017,2,1125000,Q,4,1272,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1749,20003,38.87920814,-76.98751192,7100,Ward 6
1,1,Forced Air,Y,1,6,3,1910,2001,2,885000,Q,9,1400,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1,1,11,1600,20002,38.8981352,-76.98388124,8001,Ward 6
1,1,Warm Cool,Y,1,7,3,1900,2010,2,425000,Q,1,1392,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,2,11,1600,20002,38.89795701,-76.98388324,8001,Ward 6
1,1,Forced Air,N,1,6,3,1900,2003,2,269900,U,1,1616,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Carpet,1,1,11,1600,20002,38.89787036,-76.9839122,8001,Ward 6
1,1,Forced Air,Y,1,6,2,1900,2016,2,940000,Q,4,1500,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1388,20002,38.89760428,-76.98409878,8001,Ward 6
2,1,Forced Air,Y,1,6,3,1902,2005,2,555000,Q,1,1584,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1,1,11,1223,20002,38.89755888,-76.98411043,8001,Ward 6
1,1,Forced Air,Y,1,5,2,1908,2002,2,275000,Q,1,1912,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,636,20002,38.89751583,-76.9841901,8001,Ward 6
2,1,Forced Air,Y,1,5,2,1910,2004,2,830000,Q,6,1384,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,801,20002,38.89752178,-76.98424543,8001,Ward 6
2,1,Hot Water Rad,N,1,5,2,1914,2011,2,284500,Q,1,1466,2 Story,Row End,Above Average,Average,Common Brick,Built Up,Hardwood,1,1,11,1088,20002,38.89753379,-76.98447033,8001,Ward 6
1,1,Forced Air,Y,1,5,2,1925,2008,2,565000,Q,4,1230,2 Story,Semi-Detached,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1,1,13,968,20002,38.89857087,-76.98472165,8001,Ward 6
1,1,Forced Air,Y,1,5,2,1925,2004,2,700000,Q,8,1212,2 Story,Semi-Detached,Average,Average,Common Brick,Built Up,Hardwood,1,1,13,968,20002,38.89853051,-76.98472154,8001,Ward 6
3,1,Forced Air,Y,1,6,3,1908,2007,2,856000,Q,5,1448,2 Story,Row Inside,Above Average,Very Good,Common Brick,Built Up,Hardwood,1,1,11,1120,20002,38.89754002,-76.98524684,8001,Ward 6
3,1,Forced Air,Y,1,5,2,1908,2003,2,755000,Q,9,1448,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1,1,11,1120,20002,38.8976746,-76.98525719,8001,Ward 6
1,1,Forced Air,Y,1,6,2,1912,2016,2,655000,Q,8,1114,2 Story,Row End,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1071,20002,38.89781971,-76.98440007,8001,Ward 6
2,1,Forced Air,Y,2,6,3,1900,2016,2,818100,Q,2,1126,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Wood Floor,2,1,24,927,20002,38.89644992,-76.98527842,8001,Ward 6
3,1,Warm Cool,Y,1,9,4,1910,2013,2,833500,Q,7,1388,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,2,11,854,20002,38.89714084,-76.98440897,8001,Ward 6
3,1,Forced Air,Y,1,9,3,1900,2013,2,950000,Q,6,1126,2 Story,Row End,Good Quality,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1115,20002,38.89649586,-76.98527841,8001,Ward 6
1,1,Warm Cool,Y,1,5,2,1900,2009,2,825000,Q,4,1452,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Wood Floor,1,1,11,1324,20002,38.89680322,-76.98525795,8001,Ward 6
1,1,Warm Cool,Y,1,6,3,1925,2000,2,680000,Q,5,1204,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1454,20002,38.89684412,-76.98525828,8001,Ward 6
3,1,Hot Water Rad,Y,1,8,5,1915,2013,2,1137500,Q,4,1836,2 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,1,11,1818,20002,38.89697132,-76.98524961,8001,Ward 6
3,1,Forced Air,Y,1,6,3,1925,2011,2,745000,Q,5,1024,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1110,20002,38.89524691,-76.9843687,8001,Ward 6
1,1,Forced Air,Y,1,6,3,1925,2010,2,740000,Q,5,1376,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1280,20002,38.89493603,-76.98504923,8001,Ward 6
2,1,Forced Air,Y,1,6,3,1923,2019,2,799000,Q,4,1442,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1013,20002,38.89595789,-76.98466353,8001,Ward 6
1,1,Hot Water Rad,Y,1,7,2,1915,1988,2,1000000,Q,5,1342,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1120,20002,38.89662355,-76.98419479,8001,Ward 6
3,1,Warm Cool,Y,2,8,3,1900,2004,2,899000,Q,7,1226,2 Story,Row Inside,Above Average,Good,Common Brick,Neopren,Hardwood,2,1,24,1120,20002,38.89689017,-76.98399023,8001,Ward 6
2,1,Hot Water Rad,N,1,8,2,1923,2021,2,1100000,Q,4,1440,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1260,20002,38.89628758,-76.98384039,8001,Ward 6
1,1,Forced Air,Y,1,6,3,1900,2016,2,932000,Q,4,1440,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,2,11,1259,20002,38.89679613,-76.98476341,8001,Ward 6
2,1,Warm Cool,Y,1,7,2,1900,2014,2,749000,Q,9,1552,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood/Carp,1,1,11,1234,20002,38.89671975,-76.98482752,8001,Ward 6
3,1,Forced Air,Y,1,10,3,1900,2009,2,1026000,Q,6,1430,2 Story,Row Inside,Good Quality,Good,Common Brick,Neopren,Hardwood,1,1,11,1150,20002,38.89664319,-76.9848869,8001,Ward 6
2,1,Hot Water Rad,N,1,6,3,1927,2010,2,660035,Q,4,1376,2 Story,Row Inside,Above Average,Good,Brick Veneer,Metal- Sms,Hardwood/Carp,1,1,11,1280,20002,38.89493744,-76.984763,8001,Ward 6
1,1,Forced Air,Y,1,6,3,1900,2013,2,773500,Q,4,1376,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1169,20002,38.89499759,-76.98525186,8001,Ward 6
1,1,Forced Air,Y,1,5,2,1925,2005,2,779000,Q,5,1518,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1185,20002,38.89555251,-76.98463745,8001,Ward 6
1,1,Forced Air,Y,1,5,2,1925,2006,2,412500,Q,1,1590,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,11,1185,20002,38.89555225,-76.98468863,8001,Ward 6
1,1,Warm Cool,Y,1,7,2,1925,1978,2,700000,Q,2,1558,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,1,1,11,1070,20002,38.89555199,-76.98474258,8001,Ward 6
1,1,Forced Air,Y,1,6,2,1925,1990,2,475000,Q,1,1338,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1163,20002,38.89553722,-76.98480391,8001,Ward 6
2,1,Forced Air,Y,1,6,3,1920,2016,2,875000,Q,4,1502,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1260,20002,38.89562229,-76.98500908,8001,Ward 6
3,1,Hot Water Rad,Y,1,6,3,1926,2019,2,1350000,Q,2,1700,2 Story,Row End,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,3363,20003,38.87857457,-76.98633052,7100,Ward 6
1,1,Warm Cool,Y,1,4,2,1900,2003,2,758277,Q,4,1122,2 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1385,20003,38.87908017,-76.98781309,7100,Ward 6
1,1,Warm Cool,Y,1,5,2,1900,2008,2,595000,Q,4,1122,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1285,20003,38.87906089,-76.98785285,7100,Ward 6
2,1,Warm Cool,Y,1,9,3,1912,1974,2,765000,Q,3,1640,2 Story,Row Inside,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,2024,20003,38.8777119,-76.98711147,7100,Ward 6
2,1,Warm Cool,Y,1,6,2,1912,2004,2,529000,Q,1,1640,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,2024,20003,38.87771238,-76.98745928,7100,Ward 6
2,1,Forced Air,Y,1,6,3,1912,1973,2,310000,Q,1,1640,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood/Carp,1,1,11,2024,20003,38.87771248,-76.9875282,7100,Ward 6
2,1,Forced Air,Y,1,7,3,1912,2009,2,719000,Q,4,1640,2 Story,Multi,Above Average,Good,Common Brick,Neopren,Hardwood/Carp,1,1,11,2024,20003,38.87772132,-76.98759562,7100,Ward 6
2,1,Warm Cool,Y,1,8,3,1912,2000,2,235000,Q,1,1800,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1811,20003,38.8777254,-76.98787152,7100,Ward 6
2,1,Forced Air,Y,1,6,3,1912,2005,2,715000,Q,4,1600,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1213,20003,38.87815882,-76.9880835,7100,Ward 6
1,1,Warm Cool,Y,1,7,3,1912,1989,2,485000,Q,1,1452,2 Story,Row End,Above Average,Good,Vinyl Siding,Shake,Carpet,1,1,11,1062,20003,38.87826647,-76.98808601,7100,Ward 6
1,1,Warm Cool,Y,1,4,2,1927,2013,2,510000,Q,1,840,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1538,20003,38.87768269,-76.98614249,7100,Ward 6
1,1,Warm Cool,Y,1,4,2,1927,2008,2,760000,Q,6,840,2 Story,Row Inside,Average,Good,Common Brick,Comp Shingle,Hardwood,1,1,11,1538,20003,38.8777038,-76.98619792,7100,Ward 6
2,1,Warm Cool,Y,1,7,3,1927,2011,3,715000,Q,4,1260,3 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1538,20003,38.87768235,-76.98635339,7100,Ward 6
1,1,Forced Air,Y,1,6,3,1900,2007,2,549000,Q,6,1040,2 Story,Row Inside,Above Average,Good,Common Brick,Neopren,Hardwood,1,1,11,1155,20002,38.89941706,-76.98435084,8001,Ward 6
1,1,Forced Air,Y,1,6,3,1911,2019,2,924500,Q,4,1480,2 Story,Row Inside,Above Average,Good,Common Brick,Composition Ro,Wood Floor,1,1,11,1640,20002,38.89830285,-76.98525337,8001,Ward 6
2,1,Warm Cool,Y,1,6,2,1911,2007,2,550000,Q,1,1088,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1298,20002,38.89841658,-76.98473321,8001,Ward 6
1,1,Warm Cool,Y,1,5,2,1911,2007,2,680000,Q,7,1088,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1298,20002,38.89816567,-76.98471389,8001,Ward 6
3,1,Warm Cool,Y,1,10,2,1912,2010,2,860000,Q,6,1228,2 Story,Row Inside,Above Average,Good,Common Brick,Neopren,Hardwood,1,1,11,1298,20002,38.89821166,-76.98439007,8001,Ward 6
1,1,Forced Air,Y,1,6,3,1900,2004,2,760000,Q,7,1320,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1298,20002,38.89825427,-76.98439951,8001,Ward 6
2,1,Forced Air,Y,2,9,5,1971,2019,3,977500,Q,3,2040,3 Story,Multi,Above Average,Good,Common Brick,Built Up,Hardwood,2,2,23,1780,20003,38.88145765,-76.98613127,6900,Ward 6
2,1,Forced Air,Y,1,6,2,1984,1990,2,190000,Q,1,1288,2 Story,Semi-Detached,Above Average,Good,Stucco,Metal- Sms,Hardwood,1,1,13,2483,20003,38.88230285,-76.9880019,6900,Ward 6
2,1,Forced Air,Y,1,6,3,1900,2009,2,780000,Q,4,1116,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,730,20003,38.88145538,-76.98592232,6900,Ward 6
3,1,Forced Air,Y,1,12,2,1900,2010,2,800530,Q,4,1956,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,2381,20003,38.8819673,-76.98788059,6900,Ward 6
1,1,Forced Air,Y,1,6,2,1870,1988,2,444800,Q,1,1424,2 Story,Row End,Average,Average,Vinyl Siding,Metal- Sms,Hardwood,1,1,11,1494,20003,38.88240302,-76.98804706,6900,Ward 6
1,1,Warm Cool,Y,1,5,2,1900,2014,2,660000,Q,4,1120,2 Story,Semi-Detached,Above Average,Good,Common Brick,Metal- Sms,Hardwood/Carp,1,1,13,1489,20003,38.88234925,-76.98807865,6900,Ward 6
2,1,Warm Cool,Y,1,6,3,1900,2012,2,1095000,Q,5,1474,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,2110,20003,38.88196667,-76.98577343,6900,Ward 6
1,1,Warm Cool,Y,1,5,2,1908,2010,2,540000,Q,1,1224,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,11,2067,20003,38.88219747,-76.98574722,6900,Ward 6
2,1,Forced Air,Y,2,6,2,1917,2011,2,279000,Q,1,1140,2 Story,Multi,Above Average,Good,Common Brick,Built Up,Hardwood,2,1,24,1074,20003,38.88072711,-76.9857278,6900,Ward 6
2,1,Hot Water Rad,Y,2,6,3,1917,2010,2,655000,Q,1,1200,2 Story,Row End,Above Average,Good,Common Brick,Built Up,Hardwood,2,1,24,1006,20003,38.88079956,-76.98591277,6900,Ward 6
2,1,Hot Water Rad,Y,1,8,2,1917,2009,2,332425,U,3,1200,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1064,20003,38.88083488,-76.98596958,6900,Ward 6
3,1,Forced Air,Y,1,7,3,1917,2017,2,1230000,Q,4,1632,2 Story,Row End,Above Average,Very Good,Brick/Siding,Metal- Sms,Hardwood,2,1,11,968,20003,38.88110205,-76.98574732,6900,Ward 6
3,1,Forced Air,Y,1,8,3,1917,2022,2,915000,Q,3,1140,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,968,20003,38.88088936,-76.98572731,6900,Ward 6
2,1,Forced Air,Y,1,6,2,1910,2012,2,802500,Q,4,1288,2 Story,Row End,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1392,20002,38.89236633,-76.98525195,8002,Ward 6
1,1,Forced Air,Y,1,6,2,1910,2004,2,942000,Q,5,1288,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Wood Floor,1,1,11,1392,20002,38.89241065,-76.98525217,8002,Ward 6
1,1,Forced Air,Y,1,6,3,1910,2006,2,565000,U,1,1376,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1450,20002,38.8928199,-76.98525254,8002,Ward 6
1,1,Hot Water Rad,Y,1,6,2,1915,2009,2,620000,Q,6,980,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1088,20002,38.89299635,-76.98434913,8002,Ward 6
2,1,Forced Air,Y,1,6,3,1915,2020,2,710000,Q,3,1020,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,1088,20002,38.89303004,-76.98433829,8002,Ward 6
